home_team,Bulgaria_0,Bulgaria_1,Croatia_0,Croatia_1,Czechia_0,Czechia_1,Denmark_0,Denmark_1,England_0,England_1,France_0,France_1,Germany_0,Germany_1,Italy_0,Italy_1,Netherlands_0,Netherlands_1,Portugal_0,Portugal_1,Romania_0,Romania_1,Russia_0,Russia_1,Scotland_0,Scotland_1,Spain_0,Spain_1,Switzerland_0,Switzerland_1,Turkey_0,Turkey_1
Bulgaria,,,"{""predictions"": [43.44, 56.56, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.97, 44.16, 21.87], ""scorePrediction"": [1, 2]}","{""predictions"": [42.2, 57.8, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.78, 45.22, 21.0], ""scorePrediction"": [1, 2]}","{""predictions"": [59.09, 40.91, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.7, 31.52, 23.78], ""scorePrediction"": [2, 1]}","{""predictions"": [53.84, 46.16, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.75, 35.91, 22.34], ""scorePrediction"": [2, 1]}","{""predictions"": [48.59, 51.41, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.02, 39.76, 22.22], ""scorePrediction"": [1, 2]}","{""predictions"": [43.04, 56.96, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.8, 44.15, 22.05], ""scorePrediction"": [1, 2]}","{""predictions"": [49.69, 50.31, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.51, 38.98, 22.51], ""scorePrediction"": [1, 2]}","{""predictions"": [38.96, 61.04, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.09, 48.26, 20.65], ""scorePrediction"": [1, 2]}","{""predictions"": [51.3, 48.7, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.91, 37.56, 22.53], ""scorePrediction"": [2, 1]}","{""predictions"": [44.48, 55.52, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.98, 42.11, 21.91], ""scorePrediction"": [1, 2]}","{""predictions"": [43.56, 56.44, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.18, 44.02, 21.8], ""scorePrediction"": [1, 2]}","{""predictions"": [61.78, 38.22, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.77, 27.58, 23.65], ""scorePrediction"": [2, 1]}","{""predictions"": [45.47, 54.53, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.22, 42.28, 22.5], ""scorePrediction"": [1, 2]}","{""predictions"": [52.64, 47.36, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.37, 36.57, 23.06], ""scorePrediction"": [2, 1]}","{""predictions"": [55.32, 44.68, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.15, 34.5, 23.35], ""scorePrediction"": [2, 1]}"
Croatia,"{""predictions"": [57.1, 42.9, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.09, 34.23, 21.68], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [49.12, 50.88, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [39.22, 39.31, 21.47], ""scorePrediction"": [1, 2]}","{""predictions"": [64.8, 35.2, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [50.81, 27.21, 21.98], ""scorePrediction"": [2, 1]}","{""predictions"": [60.63, 39.37, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.82, 30.66, 21.52], ""scorePrediction"": [2, 1]}","{""predictions"": [56.34, 43.66, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.45, 34.56, 21.99], ""scorePrediction"": [2, 1]}","{""predictions"": [50.03, 49.97, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.3, 39.55, 21.15], ""scorePrediction"": [1, 2]}","{""predictions"": [55.87, 44.13, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.87, 34.81, 21.32], ""scorePrediction"": [2, 1]}","{""predictions"": [45.5, 54.5, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.84, 43.78, 20.38], ""scorePrediction"": [1, 2]}","{""predictions"": [56.76, 43.24, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.74, 33.72, 21.54], ""scorePrediction"": [2, 1]}","{""predictions"": [50.43, 49.57, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.68, 38.21, 21.11], ""scorePrediction"": [2, 1]}","{""predictions"": [50.41, 49.59, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.07, 39.52, 20.41], ""scorePrediction"": [2, 1]}","{""predictions"": [68.91, 31.09, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [53.87, 23.42, 22.71], ""scorePrediction"": [2, 1]}","{""predictions"": [51.38, 48.62, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.2, 37.75, 21.05], ""scorePrediction"": [2, 1]}","{""predictions"": [58.98, 41.02, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.76, 32.17, 22.07], ""scorePrediction"": [2, 1]}","{""predictions"": [62.71, 37.29, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.62, 29.3, 22.08], ""scorePrediction"": [2, 1]}"
Czechia,"{""predictions"": [57.01, 42.99, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.65, 34.03, 21.32], ""scorePrediction"": [2, 1]}","{""predictions"": [50.05, 49.95, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.3, 39.2, 20.5], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [65.5, 34.5, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [52.35, 25.92, 21.73], ""scorePrediction"": [2, 1]}","{""predictions"": [59.86, 40.14, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.73, 30.89, 21.38], ""scorePrediction"": [2, 1]}","{""predictions"": [56.43, 43.57, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.09, 34.67, 21.24], ""scorePrediction"": [2, 1]}","{""predictions"": [51.11, 48.89, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.18, 39.99, 20.83], ""scorePrediction"": [1, 2]}","{""predictions"": [56.2, 43.8, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.87, 34.23, 20.9], ""scorePrediction"": [2, 1]}","{""predictions"": [46.04, 53.96, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.27, 43.15, 20.58], ""scorePrediction"": [1, 2]}","{""predictions"": [57.38, 42.62, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.65, 33.72, 21.63], ""scorePrediction"": [2, 1]}","{""predictions"": [52.86, 47.14, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.87, 37.11, 22.02], ""scorePrediction"": [2, 1]}","{""predictions"": [50.53, 49.47, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.17, 38.76, 21.07], ""scorePrediction"": [2, 1]}","{""predictions"": [68.97, 31.03, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [54.72, 23.77, 21.51], ""scorePrediction"": [2, 1]}","{""predictions"": [53.02, 46.98, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.84, 37.13, 21.03], ""scorePrediction"": [2, 1]}","{""predictions"": [59.11, 40.89, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.58, 32.21, 21.21], ""scorePrediction"": [2, 1]}","{""predictions"": [62.4, 37.6, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.92, 28.75, 21.33], ""scorePrediction"": [2, 1]}"
Denmark,"{""predictions"": [41.65, 58.35, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.25, 44.88, 22.87], ""scorePrediction"": [1, 2]}","{""predictions"": [34.86, 65.14, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.24, 50.69, 22.07], ""scorePrediction"": [1, 2]}","{""predictions"": [34.29, 65.71, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.12, 51.1, 21.78], ""scorePrediction"": [1, 2]}",,,"{""predictions"": [44.48, 55.52, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.35, 41.38, 24.27], ""scorePrediction"": [1, 2]}","{""predictions"": [40.15, 59.85, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.06, 45.14, 23.8], ""scorePrediction"": [1, 2]}","{""predictions"": [34.54, 65.46, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.59, 51.22, 21.19], ""scorePrediction"": [1, 2]}","{""predictions"": [41.47, 58.53, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.73, 45.81, 23.46], ""scorePrediction"": [1, 2]}","{""predictions"": [30.31, 69.69, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [24.16, 54.97, 20.87], ""scorePrediction"": [1, 2]}","{""predictions"": [42.1, 57.9, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.99, 45.26, 23.75], ""scorePrediction"": [1, 2]}","{""predictions"": [36.46, 63.54, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.21, 49.52, 22.27], ""scorePrediction"": [1, 2]}","{""predictions"": [35.83, 64.17, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.26, 49.63, 22.11], ""scorePrediction"": [1, 2]}","{""predictions"": [53.44, 46.56, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [40.36, 33.53, 26.11], ""scorePrediction"": [1, 0]}","{""predictions"": [36.46, 63.54, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.22, 48.98, 22.8], ""scorePrediction"": [1, 2]}","{""predictions"": [43.79, 56.21, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.58, 42.98, 24.44], ""scorePrediction"": [1, 2]}","{""predictions"": [46.68, 53.32, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.86, 39.5, 24.64], ""scorePrediction"": [0, 1]}"
England,"{""predictions"": [46.87, 53.13, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.48, 41.25, 23.27], ""scorePrediction"": [1, 2]}","{""predictions"": [40.57, 59.43, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.45, 46.46, 22.09], ""scorePrediction"": [1, 2]}","{""predictions"": [39.51, 60.49, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.88, 47.24, 21.88], ""scorePrediction"": [1, 2]}","{""predictions"": [54.85, 45.15, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.43, 34.0, 24.57], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [46.12, 53.88, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.9, 41.99, 23.11], ""scorePrediction"": [1, 2]}","{""predictions"": [38.99, 61.01, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.04, 47.57, 21.39], ""scorePrediction"": [1, 2]}","{""predictions"": [44.99, 55.01, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.51, 41.83, 22.66], ""scorePrediction"": [1, 2]}","{""predictions"": [35.39, 64.61, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.53, 50.62, 20.85], ""scorePrediction"": [1, 2]}","{""predictions"": [45.25, 54.75, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.61, 41.23, 23.16], ""scorePrediction"": [1, 2]}","{""predictions"": [41.09, 58.91, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.33, 45.82, 21.85], ""scorePrediction"": [1, 2]}","{""predictions"": [40.41, 59.59, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.91, 47.29, 21.8], ""scorePrediction"": [1, 2]}","{""predictions"": [59.01, 40.99, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.12, 29.57, 25.31], ""scorePrediction"": [2, 1]}","{""predictions"": [42.84, 57.16, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.06, 45.13, 21.81], ""scorePrediction"": [1, 2]}","{""predictions"": [48.21, 51.79, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.26, 39.14, 23.6], ""scorePrediction"": [1, 2]}","{""predictions"": [53.13, 46.87, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.18, 36.33, 23.49], ""scorePrediction"": [2, 1]}"
France,"{""predictions"": [51.13, 48.87, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [38.9, 38.3, 22.8], ""scorePrediction"": [2, 1]}","{""predictions"": [43.73, 56.27, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.63, 43.73, 21.64], ""scorePrediction"": [1, 2]}","{""predictions"": [43.91, 56.09, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.22, 44.36, 21.42], ""scorePrediction"": [1, 2]}","{""predictions"": [58.54, 41.46, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.46, 31.65, 22.89], ""scorePrediction"": [2, 1]}","{""predictions"": [53.38, 46.62, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.68, 34.64, 23.68], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [43.26, 56.74, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.89, 44.84, 21.27], ""scorePrediction"": [1, 2]}","{""predictions"": [49.88, 50.12, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [39.15, 38.41, 22.44], ""scorePrediction"": [2, 1]}","{""predictions"": [39.13, 60.87, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.17, 47.17, 20.66], ""scorePrediction"": [1, 2]}","{""predictions"": [50.55, 49.45, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.31, 38.04, 21.65], ""scorePrediction"": [2, 1]}","{""predictions"": [45.68, 54.32, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.66, 42.61, 21.73], ""scorePrediction"": [1, 2]}","{""predictions"": [44.26, 55.74, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.1, 43.3, 21.6], ""scorePrediction"": [1, 2]}","{""predictions"": [64.36, 35.64, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.92, 27.26, 23.82], ""scorePrediction"": [2, 1]}","{""predictions"": [45.16, 54.84, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.18, 41.39, 22.43], ""scorePrediction"": [1, 2]}","{""predictions"": [53.46, 46.54, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.69, 36.07, 22.24], ""scorePrediction"": [2, 1]}","{""predictions"": [56.38, 43.62, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.0, 33.48, 22.52], ""scorePrediction"": [2, 1]}"
Germany,"{""predictions"": [56.98, 43.02, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.91, 33.49, 21.6], ""scorePrediction"": [2, 1]}","{""predictions"": [49.4, 50.6, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.83, 39.96, 21.21], ""scorePrediction"": [1, 2]}","{""predictions"": [49.87, 50.13, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [39.88, 38.92, 21.2], ""scorePrediction"": [2, 1]}","{""predictions"": [65.14, 34.86, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [50.54, 26.81, 22.65], ""scorePrediction"": [2, 1]}","{""predictions"": [60.94, 39.06, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.69, 30.14, 22.17], ""scorePrediction"": [2, 1]}","{""predictions"": [56.07, 43.93, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.6, 34.02, 21.38], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [55.98, 44.02, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.66, 32.86, 21.48], ""scorePrediction"": [2, 1]}","{""predictions"": [46.41, 53.59, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.09, 42.2, 20.71], ""scorePrediction"": [1, 2]}","{""predictions"": [56.94, 43.06, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.44, 34.38, 21.18], ""scorePrediction"": [2, 1]}","{""predictions"": [52.02, 47.98, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.42, 37.75, 21.83], ""scorePrediction"": [2, 1]}","{""predictions"": [52.15, 47.85, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.18, 38.82, 21.0], ""scorePrediction"": [2, 1]}","{""predictions"": [69.94, 30.06, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [54.8, 24.05, 21.15], ""scorePrediction"": [2, 1]}","{""predictions"": [53.2, 46.8, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.82, 38.43, 20.75], ""scorePrediction"": [2, 1]}","{""predictions"": [59.7, 40.3, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.81, 32.67, 21.52], ""scorePrediction"": [2, 1]}","{""predictions"": [62.98, 37.02, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.93, 29.6, 21.47], ""scorePrediction"": [2, 1]}"
Italy,"{""predictions"": [51.3, 48.7, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [38.91, 39.01, 22.08], ""scorePrediction"": [1, 2]}","{""predictions"": [44.01, 55.99, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.0, 44.46, 21.54], ""scorePrediction"": [1, 2]}","{""predictions"": [42.93, 57.07, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.92, 44.25, 21.83], ""scorePrediction"": [1, 2]}","{""predictions"": [60.37, 39.63, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.13, 30.87, 23.0], ""scorePrediction"": [2, 1]}","{""predictions"": [55.1, 44.9, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.58, 36.94, 22.48], ""scorePrediction"": [2, 1]}","{""predictions"": [49.81, 50.19, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.47, 38.81, 22.72], ""scorePrediction"": [1, 2]}","{""predictions"": [43.37, 56.63, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.76, 44.73, 21.51], ""scorePrediction"": [1, 2]}",,,"{""predictions"": [39.1, 60.9, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.64, 48.06, 20.3], ""scorePrediction"": [1, 2]}","{""predictions"": [50.56, 49.44, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.18, 37.61, 23.21], ""scorePrediction"": [2, 1]}","{""predictions"": [45.84, 54.16, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.65, 43.24, 21.11], ""scorePrediction"": [1, 2]}","{""predictions"": [44.35, 55.65, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.53, 44.16, 21.31], ""scorePrediction"": [1, 2]}","{""predictions"": [63.76, 36.24, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.36, 27.86, 23.78], ""scorePrediction"": [2, 1]}","{""predictions"": [45.71, 54.29, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.66, 42.64, 21.7], ""scorePrediction"": [1, 2]}","{""predictions"": [53.84, 46.16, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.2, 36.63, 22.17], ""scorePrediction"": [2, 1]}","{""predictions"": [56.43, 43.57, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.21, 34.15, 22.64], ""scorePrediction"": [2, 1]}"
Netherlands,"{""predictions"": [61.63, 38.37, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.6, 30.81, 20.59], ""scorePrediction"": [2, 1]}","{""predictions"": [54.88, 45.12, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.95, 35.46, 20.59], ""scorePrediction"": [2, 1]}","{""predictions"": [53.71, 46.29, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.46, 36.07, 20.47], ""scorePrediction"": [2, 1]}","{""predictions"": [69.26, 30.74, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [54.89, 24.57, 20.54], ""scorePrediction"": [2, 1]}","{""predictions"": [63.92, 36.08, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.38, 28.17, 20.45], ""scorePrediction"": [2, 1]}","{""predictions"": [60.18, 39.82, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.43, 31.01, 20.56], ""scorePrediction"": [2, 1]}","{""predictions"": [54.79, 45.21, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.82, 37.13, 20.05], ""scorePrediction"": [2, 1]}","{""predictions"": [60.31, 39.69, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.47, 31.54, 20.99], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [61.61, 38.39, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.42, 30.79, 20.79], ""scorePrediction"": [2, 1]}","{""predictions"": [56.09, 43.91, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.41, 34.41, 21.18], ""scorePrediction"": [2, 1]}","{""predictions"": [54.88, 45.12, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.84, 35.91, 20.25], ""scorePrediction"": [2, 1]}","{""predictions"": [72.15, 27.85, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [57.48, 22.26, 20.26], ""scorePrediction"": [2, 1]}","{""predictions"": [56.04, 43.96, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.41, 35.12, 20.47], ""scorePrediction"": [2, 1]}","{""predictions"": [62.99, 37.01, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.51, 27.79, 20.7], ""scorePrediction"": [2, 1]}","{""predictions"": [66.27, 33.73, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [53.09, 26.32, 20.59], ""scorePrediction"": [2, 1]}"
Portugal,"{""predictions"": [49.93, 50.07, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.6, 38.36, 23.04], ""scorePrediction"": [2, 1]}","{""predictions"": [43.24, 56.76, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.27, 44.57, 22.16], ""scorePrediction"": [1, 2]}","{""predictions"": [42.49, 57.51, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.72, 44.36, 21.92], ""scorePrediction"": [1, 2]}","{""predictions"": [58.18, 41.82, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.15, 32.11, 23.74], ""scorePrediction"": [2, 1]}","{""predictions"": [54.35, 45.65, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.07, 36.4, 22.53], ""scorePrediction"": [2, 1]}","{""predictions"": [49.38, 50.62, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.32, 39.98, 22.7], ""scorePrediction"": [1, 2]}","{""predictions"": [41.55, 58.45, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.41, 44.76, 21.83], ""scorePrediction"": [1, 2]}","{""predictions"": [48.85, 51.15, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.01, 39.76, 22.23], ""scorePrediction"": [1, 2]}","{""predictions"": [39.1, 60.9, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.93, 49.35, 20.72], ""scorePrediction"": [1, 2]}",,,"{""predictions"": [44.13, 55.87, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.82, 43.1, 22.08], ""scorePrediction"": [1, 2]}","{""predictions"": [43.72, 56.28, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.01, 43.55, 22.44], ""scorePrediction"": [1, 2]}","{""predictions"": [62.73, 37.27, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.21, 28.0, 23.79], ""scorePrediction"": [2, 1]}","{""predictions"": [44.69, 55.31, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.52, 42.32, 22.16], ""scorePrediction"": [1, 2]}","{""predictions"": [52.17, 47.83, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.25, 36.87, 22.88], ""scorePrediction"": [2, 1]}","{""predictions"": [55.83, 44.17, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.36, 34.42, 23.22], ""scorePrediction"": [2, 1]}"
