home_team,Belgium_0,Belgium_1,Czechia_0,Czechia_1,Denmark_0,Denmark_1,England_0,England_1,France_0,France_1,Germany_0,Germany_1,Italy_0,Italy_1,Netherlands_0,Netherlands_1,Norway_0,Norway_1,Portugal_0,Portugal_1,Romania_0,Romania_1,Serbia_0,Serbia_1,Slovenia_0,Slovenia_1,Spain_0,Spain_1,Sweden_0,Sweden_1,Turkey_0,Turkey_1
Belgium,,,"{""predictions"": [40.36, 59.64, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.09, 46.77, 22.14], ""scorePrediction"": [1, 2]}","{""predictions"": [52.87, 47.13, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [40.85, 34.9, 24.25], ""scorePrediction"": [2, 1]}","{""predictions"": [47.78, 52.22, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.68, 38.34, 23.98], ""scorePrediction"": [0, 1]}","{""predictions"": [43.62, 56.38, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.41, 44.55, 23.04], ""scorePrediction"": [1, 2]}","{""predictions"": [35.58, 64.42, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [26.81, 51.41, 21.78], ""scorePrediction"": [1, 2]}","{""predictions"": [52.15, 47.85, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [38.22, 35.57, 26.21], ""scorePrediction"": [2, 1]}","{""predictions"": [37.06, 62.94, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.5, 49.46, 21.04], ""scorePrediction"": [1, 2]}","{""predictions"": [39.45, 60.55, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.82, 47.03, 22.15], ""scorePrediction"": [1, 2]}","{""predictions"": [41.72, 58.28, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.06, 43.94, 23.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.3, 65.7, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [26.94, 51.59, 21.47], ""scorePrediction"": [1, 2]}","{""predictions"": [38.27, 61.73, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.55, 48.45, 22.0], ""scorePrediction"": [1, 2]}","{""predictions"": [50.6, 49.4, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [38.75, 36.13, 25.12], ""scorePrediction"": [2, 1]}","{""predictions"": [26.66, 73.34, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [21.74, 59.96, 18.3], ""scorePrediction"": [1, 2]}","{""predictions"": [60.5, 39.5, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [45.44, 28.61, 25.95], ""scorePrediction"": [1, 0]}","{""predictions"": [50.97, 49.03, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [38.7, 36.16, 25.14], ""scorePrediction"": [2, 1]}"
Czechia,"{""predictions"": [60.4, 39.6, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.98, 30.41, 22.61], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [62.67, 37.33, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.11, 28.57, 22.32], ""scorePrediction"": [2, 1]}","{""predictions"": [58.67, 41.33, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.61, 31.68, 22.71], ""scorePrediction"": [2, 1]}","{""predictions"": [53.23, 46.77, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.15, 36.27, 22.58], ""scorePrediction"": [2, 1]}","{""predictions"": [44.63, 55.37, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.37, 43.64, 19.99], ""scorePrediction"": [1, 2]}","{""predictions"": [62.05, 37.95, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.53, 28.36, 23.11], ""scorePrediction"": [2, 1]}","{""predictions"": [46.89, 53.11, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.42, 42.04, 21.54], ""scorePrediction"": [1, 2]}","{""predictions"": [49.07, 50.93, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.93, 39.67, 21.4], ""scorePrediction"": [1, 2]}","{""predictions"": [53.09, 46.91, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.23, 37.26, 21.51], ""scorePrediction"": [2, 1]}","{""predictions"": [43.7, 56.3, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.35, 43.34, 21.31], ""scorePrediction"": [1, 2]}","{""predictions"": [48.84, 51.16, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.88, 39.99, 22.13], ""scorePrediction"": [1, 2]}","{""predictions"": [61.46, 38.54, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.62, 29.44, 22.94], ""scorePrediction"": [2, 1]}","{""predictions"": [34.7, 65.3, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.42, 52.72, 18.86], ""scorePrediction"": [1, 2]}","{""predictions"": [70.43, 29.57, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [53.79, 23.26, 22.95], ""scorePrediction"": [2, 1]}","{""predictions"": [61.18, 38.82, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.66, 29.0, 23.34], ""scorePrediction"": [2, 1]}"
Denmark,"{""predictions"": [46.34, 53.66, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [35.1, 40.48, 24.42], ""scorePrediction"": [1, 2]}","{""predictions"": [36.68, 63.32, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.37, 49.75, 22.88], ""scorePrediction"": [1, 2]}",,,"{""predictions"": [46.0, 54.0, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.78, 41.14, 24.08], ""scorePrediction"": [1, 2]}","{""predictions"": [39.22, 60.78, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.17, 46.98, 23.85], ""scorePrediction"": [1, 2]}","{""predictions"": [31.44, 68.56, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [25.45, 53.31, 21.24], ""scorePrediction"": [1, 2]}","{""predictions"": [48.46, 51.54, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [37.21, 37.65, 25.14], ""scorePrediction"": [0, 1]}","{""predictions"": [34.27, 65.73, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [26.23, 51.24, 22.53], ""scorePrediction"": [1, 2]}","{""predictions"": [34.0, 66.0, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [26.87, 50.32, 22.81], ""scorePrediction"": [1, 2]}","{""predictions"": [39.46, 60.54, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.78, 46.59, 23.63], ""scorePrediction"": [1, 2]}","{""predictions"": [31.0, 69.0, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [24.38, 54.24, 21.38], ""scorePrediction"": [1, 2]}","{""predictions"": [35.28, 64.72, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.6, 49.96, 22.44], ""scorePrediction"": [1, 2]}","{""predictions"": [48.82, 51.18, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [35.82, 37.84, 26.34], ""scorePrediction"": [0, 1]}","{""predictions"": [24.04, 75.96, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [18.61, 62.45, 18.94], ""scorePrediction"": [1, 2]}","{""predictions"": [58.31, 41.69, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [42.26, 30.64, 27.1], ""scorePrediction"": [1, 0]}","{""predictions"": [48.15, 51.85, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.72, 38.53, 25.75], ""scorePrediction"": [0, 1]}"
England,"{""predictions"": [50.32, 49.68, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [38.44, 36.98, 24.58], ""scorePrediction"": [2, 1]}","{""predictions"": [40.9, 59.1, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.93, 45.94, 22.13], ""scorePrediction"": [1, 2]}","{""predictions"": [55.4, 44.6, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.21, 34.34, 24.45], ""scorePrediction"": [1, 0]}",,,"{""predictions"": [44.2, 55.8, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.75, 42.56, 22.69], ""scorePrediction"": [1, 2]}","{""predictions"": [37.25, 62.75, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.52, 49.99, 21.49], ""scorePrediction"": [1, 2]}","{""predictions"": [53.27, 46.73, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.71, 34.53, 24.76], ""scorePrediction"": [2, 1]}","{""predictions"": [38.8, 61.2, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.34, 47.96, 21.7], ""scorePrediction"": [1, 2]}","{""predictions"": [39.48, 60.52, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.74, 47.06, 22.2], ""scorePrediction"": [1, 2]}","{""predictions"": [43.7, 56.3, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.43, 43.05, 23.52], ""scorePrediction"": [1, 2]}","{""predictions"": [35.51, 64.49, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.64, 51.76, 20.6], ""scorePrediction"": [1, 2]}","{""predictions"": [40.34, 59.66, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.48, 47.39, 22.13], ""scorePrediction"": [1, 2]}","{""predictions"": [53.98, 46.02, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.58, 35.21, 25.21], ""scorePrediction"": [2, 1]}","{""predictions"": [27.49, 72.51, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [22.24, 59.27, 18.49], ""scorePrediction"": [1, 2]}","{""predictions"": [61.94, 38.06, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [46.48, 28.27, 25.25], ""scorePrediction"": [1, 0]}","{""predictions"": [52.52, 47.48, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.47, 35.73, 24.8], ""scorePrediction"": [2, 1]}"
France,"{""predictions"": [57.52, 42.48, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.36, 33.15, 22.49], ""scorePrediction"": [2, 1]}","{""predictions"": [47.52, 52.48, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.76, 41.86, 21.38], ""scorePrediction"": [1, 2]}","{""predictions"": [60.8, 39.2, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.13, 29.44, 23.43], ""scorePrediction"": [2, 1]}","{""predictions"": [57.13, 42.87, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.61, 33.71, 22.68], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [42.17, 57.83, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.73, 45.24, 22.03], ""scorePrediction"": [1, 2]}","{""predictions"": [59.99, 40.01, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.17, 31.15, 23.68], ""scorePrediction"": [2, 1]}","{""predictions"": [43.78, 56.22, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.04, 44.15, 20.81], ""scorePrediction"": [1, 2]}","{""predictions"": [46.6, 53.4, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.94, 42.64, 21.42], ""scorePrediction"": [1, 2]}","{""predictions"": [50.32, 49.68, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.23, 38.51, 22.26], ""scorePrediction"": [2, 1]}","{""predictions"": [40.86, 59.14, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.48, 45.25, 21.27], ""scorePrediction"": [1, 2]}","{""predictions"": [45.97, 54.03, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.18, 42.54, 21.28], ""scorePrediction"": [1, 2]}","{""predictions"": [68.26, 31.74, 0.0], ""scorePrediction"": [2, 0]}","{""predictions"": [60.89, 29.91, 9.2], ""scorePrediction"": [2, 0]}","{""predictions"": [32.71, 67.29, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [25.34, 55.08, 19.58], ""scorePrediction"": [1, 2]}","{""predictions"": [67.73, 32.27, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [51.51, 24.92, 23.57], ""scorePrediction"": [2, 1]}","{""predictions"": [58.33, 41.67, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.31, 31.29, 23.4], ""scorePrediction"": [2, 1]}"
Germany,"{""predictions"": [64.84, 35.16, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.94, 27.0, 21.06], ""scorePrediction"": [2, 1]}","{""predictions"": [54.44, 45.56, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.79, 35.66, 20.55], ""scorePrediction"": [2, 1]}","{""predictions"": [68.42, 31.58, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [54.08, 25.21, 20.71], ""scorePrediction"": [2, 1]}","{""predictions"": [63.77, 36.23, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.61, 28.97, 21.42], ""scorePrediction"": [2, 1]}","{""predictions"": [57.95, 42.05, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.82, 32.59, 21.59], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [66.59, 33.41, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [52.24, 25.91, 21.85], ""scorePrediction"": [2, 1]}","{""predictions"": [51.28, 48.72, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.15, 37.62, 21.23], ""scorePrediction"": [2, 1]}","{""predictions"": [53.8, 46.2, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.04, 35.87, 21.09], ""scorePrediction"": [2, 1]}","{""predictions"": [58.12, 41.88, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.89, 32.62, 21.49], ""scorePrediction"": [2, 1]}","{""predictions"": [49.85, 50.15, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [39.4, 40.46, 20.14], ""scorePrediction"": [1, 2]}","{""predictions"": [52.79, 47.21, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.29, 36.94, 20.77], ""scorePrediction"": [2, 1]}","{""predictions"": [65.85, 34.15, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [52.0, 26.3, 21.7], ""scorePrediction"": [2, 1]}","{""predictions"": [39.9, 60.1, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.39, 48.91, 18.7], ""scorePrediction"": [1, 2]}","{""predictions"": [74.53, 25.47, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [59.4, 19.89, 20.71], ""scorePrediction"": [2, 1]}","{""predictions"": [66.32, 33.68, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.94, 26.56, 21.5], ""scorePrediction"": [2, 1]}"
Italy,"{""predictions"": [48.47, 51.53, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [36.04, 39.37, 24.59], ""scorePrediction"": [1, 2]}","{""predictions"": [37.67, 62.33, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.89, 48.85, 22.26], ""scorePrediction"": [1, 2]}","{""predictions"": [51.59, 48.41, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [37.59, 36.09, 26.32], ""scorePrediction"": [1, 0]}","{""predictions"": [46.92, 53.08, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.75, 39.89, 25.36], ""scorePrediction"": [0, 1]}","{""predictions"": [39.71, 60.29, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.08, 45.96, 22.96], ""scorePrediction"": [1, 2]}","{""predictions"": [32.36, 67.64, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [26.17, 52.98, 20.85], ""scorePrediction"": [1, 2]}",,,"{""predictions"": [35.46, 64.54, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.47, 50.55, 21.98], ""scorePrediction"": [1, 2]}","{""predictions"": [35.87, 64.13, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.14, 48.78, 23.08], ""scorePrediction"": [1, 2]}","{""predictions"": [40.19, 59.81, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.63, 46.45, 22.92], ""scorePrediction"": [1, 2]}","{""predictions"": [32.89, 67.11, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [24.85, 53.6, 21.55], ""scorePrediction"": [1, 2]}","{""predictions"": [36.21, 63.79, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.26, 49.2, 22.54], ""scorePrediction"": [1, 2]}","{""predictions"": [50.57, 49.43, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [36.9, 37.43, 25.67], ""scorePrediction"": [1, 2]}","{""predictions"": [24.45, 75.55, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [19.44, 61.6, 18.96], ""scorePrediction"": [1, 2]}","{""predictions"": [58.35, 41.65, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [42.38, 30.06, 27.56], ""scorePrediction"": [1, 0]}","{""predictions"": [49.85, 50.15, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.15, 38.35, 25.5], ""scorePrediction"": [0, 1]}"
Netherlands,"{""predictions"": [62.67, 37.33, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.09, 29.38, 21.53], ""scorePrediction"": [2, 1]}","{""predictions"": [53.7, 46.3, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.85, 37.26, 20.89], ""scorePrediction"": [2, 1]}","{""predictions"": [66.63, 33.37, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.66, 27.2, 21.14], ""scorePrediction"": [2, 1]}","{""predictions"": [61.51, 38.49, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.21, 30.01, 21.78], ""scorePrediction"": [2, 1]}","{""predictions"": [55.97, 44.03, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.29, 34.43, 21.28], ""scorePrediction"": [2, 1]}","{""predictions"": [47.25, 52.75, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.46, 41.7, 19.84], ""scorePrediction"": [1, 2]}","{""predictions"": [65.04, 34.96, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [50.22, 27.29, 22.49], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [51.56, 48.44, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.66, 37.87, 21.47], ""scorePrediction"": [2, 1]}","{""predictions"": [55.29, 44.71, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.32, 35.21, 21.47], ""scorePrediction"": [2, 1]}","{""predictions"": [46.27, 53.73, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.09, 42.51, 20.4], ""scorePrediction"": [1, 2]}","{""predictions"": [50.88, 49.12, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.0, 38.07, 20.93], ""scorePrediction"": [2, 1]}","{""predictions"": [63.69, 36.31, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.88, 27.59, 22.53], ""scorePrediction"": [2, 1]}","{""predictions"": [36.82, 63.18, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.8, 50.56, 18.64], ""scorePrediction"": [1, 2]}","{""predictions"": [71.98, 28.02, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [56.12, 21.81, 22.07], ""scorePrediction"": [2, 1]}","{""predictions"": [64.45, 35.55, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [50.27, 27.98, 21.75], ""scorePrediction"": [2, 1]}"
Norway,"{""predictions"": [60.56, 39.44, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.54, 28.64, 22.82], ""scorePrediction"": [2, 1]}","{""predictions"": [50.4, 49.6, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.22, 38.7, 21.08], ""scorePrediction"": [2, 1]}","{""predictions"": [63.75, 36.25, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [50.31, 27.33, 22.36], ""scorePrediction"": [2, 1]}","{""predictions"": [60.48, 39.52, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.03, 30.41, 22.56], ""scorePrediction"": [2, 1]}","{""predictions"": [53.77, 46.23, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.2, 36.53, 21.27], ""scorePrediction"": [2, 1]}","{""predictions"": [46.56, 53.44, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.64, 41.91, 20.45], ""scorePrediction"": [1, 2]}","{""predictions"": [62.88, 37.12, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.97, 28.72, 22.31], ""scorePrediction"": [2, 1]}","{""predictions"": [48.87, 51.13, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.73, 40.83, 21.44], ""scorePrediction"": [1, 2]}",,,"{""predictions"": [53.42, 46.58, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.61, 35.67, 22.72], ""scorePrediction"": [2, 1]}","{""predictions"": [44.06, 55.94, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.48, 43.55, 20.97], ""scorePrediction"": [1, 2]}","{""predictions"": [49.56, 50.44, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [39.76, 39.58, 20.66], ""scorePrediction"": [2, 1]}","{""predictions"": [61.86, 38.14, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.55, 28.62, 22.83], ""scorePrediction"": [2, 1]}","{""predictions"": [36.28, 63.72, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.64, 51.63, 18.73], ""scorePrediction"": [1, 2]}","{""predictions"": [71.37, 28.63, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [54.89, 22.55, 22.56], ""scorePrediction"": [2, 1]}","{""predictions"": [61.91, 38.09, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.82, 28.9, 22.28], ""scorePrediction"": [2, 1]}"
Portugal,"{""predictions"": [57.23, 42.77, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.96, 32.8, 23.24], ""scorePrediction"": [2, 1]}","{""predictions"": [47.8, 52.2, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.95, 41.05, 22.0], ""scorePrediction"": [1, 2]}","{""predictions"": [61.71, 38.29, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.69, 29.89, 23.42], ""scorePrediction"": [2, 1]}","{""predictions"": [55.84, 44.16, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.89, 33.77, 23.34], ""scorePrediction"": [2, 1]}","{""predictions"": [49.85, 50.15, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.95, 38.7, 22.35], ""scorePrediction"": [2, 1]}","{""predictions"": [42.73, 57.27, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.78, 44.99, 21.23], ""scorePrediction"": [1, 2]}","{""predictions"": [60.56, 39.44, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.51, 30.69, 23.8], ""scorePrediction"": [2, 1]}","{""predictions"": [44.36, 55.64, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.72, 43.69, 21.59], ""scorePrediction"": [1, 2]}","{""predictions"": [46.38, 53.62, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.09, 41.66, 21.25], ""scorePrediction"": [1, 2]}",,,"{""predictions"": [41.0, 59.0, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.31, 46.58, 21.11], ""scorePrediction"": [1, 2]}","{""predictions"": [45.63, 54.37, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.69, 42.59, 21.72], ""scorePrediction"": [1, 2]}","{""predictions"": [58.9, 41.1, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.47, 30.91, 23.62], ""scorePrediction"": [2, 1]}","{""predictions"": [33.09, 66.91, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [26.02, 55.02, 18.96], ""scorePrediction"": [1, 2]}","{""predictions"": [67.38, 32.62, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [52.22, 24.01, 23.77], ""scorePrediction"": [1, 0]}","{""predictions"": [59.1, 40.9, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.22, 31.81, 22.97], ""scorePrediction"": [2, 1]}"
