home_team,Bulgaria_0,Bulgaria_1,Croatia_0,Croatia_1,Czechia_0,Czechia_1,Denmark_0,Denmark_1,England_0,England_1,France_0,France_1,Germany_0,Germany_1,Greece_0,Greece_1,Italy_0,Italy_1,Latvia_0,Latvia_1,Netherlands_0,Netherlands_1,Portugal_0,Portugal_1,Russia_0,Russia_1,Spain_0,Spain_1,Sweden_0,Sweden_1,Switzerland_0,Switzerland_1
Bulgaria,,,"{""predictions"": [53.75, 46.25, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [40.24, 33.9, 25.86], ""scorePrediction"": [1, 0]}","{""predictions"": [30.38, 69.62, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [25.03, 54.62, 20.35], ""scorePrediction"": [1, 2]}","{""predictions"": [43.96, 56.04, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.94, 41.73, 24.33], ""scorePrediction"": [1, 2]}","{""predictions"": [41.93, 58.07, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.66, 44.99, 23.35], ""scorePrediction"": [1, 2]}","{""predictions"": [28.69, 71.31, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [23.2, 57.44, 19.36], ""scorePrediction"": [1, 2]}","{""predictions"": [31.25, 68.75, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [25.27, 53.91, 20.82], ""scorePrediction"": [1, 2]}","{""predictions"": [53.73, 46.27, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [39.78, 34.53, 25.69], ""scorePrediction"": [1, 0]}","{""predictions"": [46.41, 53.59, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.62, 39.59, 24.79], ""scorePrediction"": [0, 1]}","{""predictions"": [59.09, 40.91, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [43.68, 29.82, 26.5], ""scorePrediction"": [1, 0]}","{""predictions"": [30.97, 69.03, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [24.47, 54.11, 21.42], ""scorePrediction"": [1, 2]}","{""predictions"": [29.53, 70.47, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [23.12, 56.0, 20.88], ""scorePrediction"": [1, 2]}","{""predictions"": [45.89, 54.11, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.8, 39.74, 24.46], ""scorePrediction"": [1, 2]}","{""predictions"": [36.34, 63.66, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.38, 50.81, 20.81], ""scorePrediction"": [1, 2]}","{""predictions"": [42.88, 57.12, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.49, 43.57, 23.94], ""scorePrediction"": [1, 2]}","{""predictions"": [44.68, 55.32, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.54, 42.06, 24.4], ""scorePrediction"": [1, 2]}"
Croatia,"{""predictions"": [45.31, 54.69, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [34.71, 39.44, 25.85], ""scorePrediction"": [0, 1]}",,,"{""predictions"": [27.13, 72.87, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [22.32, 57.24, 20.44], ""scorePrediction"": [1, 2]}","{""predictions"": [40.43, 59.57, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.6, 45.27, 24.13], ""scorePrediction"": [1, 2]}","{""predictions"": [38.2, 61.8, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.34, 46.48, 24.18], ""scorePrediction"": [1, 2]}","{""predictions"": [25.35, 74.65, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [20.67, 59.07, 20.26], ""scorePrediction"": [1, 2]}","{""predictions"": [28.94, 71.06, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [23.51, 56.06, 20.43], ""scorePrediction"": [1, 2]}","{""predictions"": [50.09, 49.91, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [36.38, 36.8, 26.82], ""scorePrediction"": [0, 1]}","{""predictions"": [43.09, 56.91, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [33.57, 41.41, 25.02], ""scorePrediction"": [0, 1]}","{""predictions"": [54.67, 45.33, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [39.92, 32.73, 27.35], ""scorePrediction"": [1, 0]}","{""predictions"": [29.29, 70.71, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [22.58, 56.82, 20.6], ""scorePrediction"": [1, 2]}","{""predictions"": [27.4, 72.6, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [20.08, 60.04, 19.88], ""scorePrediction"": [1, 2]}","{""predictions"": [42.14, 57.86, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.9, 42.79, 25.31], ""scorePrediction"": [0, 1]}","{""predictions"": [32.08, 67.92, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [25.48, 52.5, 22.02], ""scorePrediction"": [1, 2]}","{""predictions"": [39.82, 60.18, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.88, 45.36, 23.76], ""scorePrediction"": [1, 2]}","{""predictions"": [42.23, 57.77, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.84, 43.88, 25.28], ""scorePrediction"": [1, 2]}"
Czechia,"{""predictions"": [69.04, 30.96, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [55.22, 24.23, 20.55], ""scorePrediction"": [2, 1]}","{""predictions"": [71.84, 28.16, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [57.42, 22.24, 20.34], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [63.31, 36.69, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.67, 29.08, 21.25], ""scorePrediction"": [2, 1]}","{""predictions"": [62.25, 37.75, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.67, 30.79, 20.54], ""scorePrediction"": [2, 1]}","{""predictions"": [47.27, 52.73, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.83, 41.79, 19.38], ""scorePrediction"": [1, 2]}","{""predictions"": [52.15, 47.85, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.24, 38.82, 19.94], ""scorePrediction"": [2, 1]}","{""predictions"": [72.06, 27.94, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [57.39, 22.12, 20.49], ""scorePrediction"": [2, 1]}","{""predictions"": [66.84, 33.16, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [52.81, 26.43, 20.76], ""scorePrediction"": [2, 1]}","{""predictions"": [63.37, 36.63, 0.0], ""scorePrediction"": [3, 0]}","{""predictions"": [61.33, 33.36, 5.31], ""scorePrediction"": [3, 0]}","{""predictions"": [50.69, 49.31, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.19, 38.68, 20.13], ""scorePrediction"": [2, 1]}","{""predictions"": [49.02, 50.98, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.53, 41.42, 20.05], ""scorePrediction"": [1, 2]}","{""predictions"": [66.69, 33.31, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [52.41, 26.36, 21.23], ""scorePrediction"": [2, 1]}","{""predictions"": [54.76, 45.24, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.6, 34.66, 20.74], ""scorePrediction"": [2, 1]}","{""predictions"": [63.57, 36.43, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [50.24, 29.63, 20.13], ""scorePrediction"": [2, 1]}","{""predictions"": [64.46, 35.54, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.52, 27.8, 20.68], ""scorePrediction"": [2, 1]}"
Denmark,"{""predictions"": [55.94, 44.06, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.8, 33.13, 24.07], ""scorePrediction"": [2, 1]}","{""predictions"": [59.14, 40.86, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.97, 30.49, 24.54], ""scorePrediction"": [2, 1]}","{""predictions"": [36.26, 63.74, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.29, 51.2, 20.51], ""scorePrediction"": [1, 2]}",,,"{""predictions"": [46.93, 53.07, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.09, 40.31, 22.6], ""scorePrediction"": [1, 2]}","{""predictions"": [34.9, 65.1, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.12, 51.14, 20.74], ""scorePrediction"": [1, 2]}","{""predictions"": [37.65, 62.35, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.95, 50.23, 20.82], ""scorePrediction"": [1, 2]}","{""predictions"": [59.83, 40.17, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.36, 30.8, 23.84], ""scorePrediction"": [2, 1]}","{""predictions"": [53.27, 46.73, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.51, 36.09, 24.4], ""scorePrediction"": [2, 1]}","{""predictions"": [64.35, 35.65, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [48.14, 27.25, 24.61], ""scorePrediction"": [1, 0]}","{""predictions"": [37.01, 62.99, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.51, 49.73, 20.76], ""scorePrediction"": [1, 2]}","{""predictions"": [33.95, 66.05, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.02, 52.93, 20.05], ""scorePrediction"": [1, 2]}","{""predictions"": [52.44, 47.56, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.7, 36.96, 23.34], ""scorePrediction"": [2, 1]}","{""predictions"": [41.66, 58.34, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.54, 46.07, 22.39], ""scorePrediction"": [1, 2]}","{""predictions"": [48.6, 51.4, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.86, 39.49, 22.65], ""scorePrediction"": [1, 2]}","{""predictions"": [51.42, 48.58, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.53, 37.63, 22.84], ""scorePrediction"": [2, 1]}"
England,"{""predictions"": [59.02, 40.98, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.66, 33.13, 23.21], ""scorePrediction"": [2, 1]}","{""predictions"": [61.89, 38.11, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.74, 28.74, 23.52], ""scorePrediction"": [2, 1]}","{""predictions"": [37.11, 62.89, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.09, 49.01, 19.9], ""scorePrediction"": [1, 2]}","{""predictions"": [52.16, 47.84, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.75, 36.42, 22.83], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [36.54, 63.46, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.52, 50.77, 20.71], ""scorePrediction"": [1, 2]}","{""predictions"": [39.07, 60.93, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.67, 48.52, 20.81], ""scorePrediction"": [1, 2]}","{""predictions"": [61.02, 38.98, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.78, 29.33, 23.89], ""scorePrediction"": [2, 1]}","{""predictions"": [55.94, 44.06, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.64, 34.47, 22.89], ""scorePrediction"": [2, 1]}","{""predictions"": [62.57, 37.43, 0.0], ""scorePrediction"": [2, 0]}","{""predictions"": [57.92, 35.29, 6.79], ""scorePrediction"": [2, 0]}","{""predictions"": [39.61, 60.39, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.17, 47.69, 20.14], ""scorePrediction"": [1, 2]}","{""predictions"": [37.67, 62.33, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.86, 50.44, 19.7], ""scorePrediction"": [1, 2]}","{""predictions"": [55.26, 44.74, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.9, 34.24, 23.86], ""scorePrediction"": [2, 1]}","{""predictions"": [44.11, 55.89, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.87, 44.4, 21.73], ""scorePrediction"": [1, 2]}","{""predictions"": [50.79, 49.21, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.01, 37.09, 22.9], ""scorePrediction"": [2, 1]}","{""predictions"": [54.0, 46.0, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.02, 35.37, 23.61], ""scorePrediction"": [2, 1]}"
France,"{""predictions"": [70.24, 29.76, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [56.35, 23.49, 20.16], ""scorePrediction"": [2, 1]}","{""predictions"": [73.99, 26.01, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [59.77, 20.52, 19.71], ""scorePrediction"": [2, 1]}","{""predictions"": [50.91, 49.09, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.91, 39.32, 19.77], ""scorePrediction"": [2, 1]}","{""predictions"": [66.08, 33.92, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [53.21, 27.08, 19.71], ""scorePrediction"": [2, 1]}","{""predictions"": [64.0, 36.0, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [50.4, 29.66, 19.94], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [53.35, 46.65, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.43, 37.33, 19.24], ""scorePrediction"": [2, 1]}","{""predictions"": [73.41, 26.59, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [57.69, 21.9, 20.41], ""scorePrediction"": [2, 1]}","{""predictions"": [67.56, 32.44, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [54.42, 25.41, 20.17], ""scorePrediction"": [2, 1]}","{""predictions"": [63.57, 36.43, 0.0], ""scorePrediction"": [3, 0]}","{""predictions"": [61.28, 33.8, 4.92], ""scorePrediction"": [3, 0]}","{""predictions"": [52.21, 47.79, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.1, 38.56, 19.34], ""scorePrediction"": [2, 1]}","{""predictions"": [50.46, 49.54, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.95, 40.31, 19.74], ""scorePrediction"": [1, 2]}","{""predictions"": [66.47, 33.53, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [53.97, 26.47, 19.56], ""scorePrediction"": [2, 1]}","{""predictions"": [56.93, 43.07, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.8, 34.4, 20.8], ""scorePrediction"": [2, 1]}","{""predictions"": [63.93, 36.07, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.04, 28.69, 20.27], ""scorePrediction"": [2, 1]}","{""predictions"": [66.51, 33.49, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [52.55, 26.84, 20.61], ""scorePrediction"": [2, 1]}"
Germany,"{""predictions"": [67.81, 32.19, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [53.28, 25.13, 21.59], ""scorePrediction"": [2, 1]}","{""predictions"": [70.6, 29.4, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [56.01, 22.62, 21.37], ""scorePrediction"": [2, 1]}","{""predictions"": [48.73, 51.27, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.97, 42.31, 19.72], ""scorePrediction"": [1, 2]}","{""predictions"": [61.9, 38.1, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [50.29, 29.0, 20.71], ""scorePrediction"": [2, 1]}","{""predictions"": [59.39, 40.61, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.73, 31.56, 20.71], ""scorePrediction"": [2, 1]}","{""predictions"": [47.2, 52.8, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.55, 43.09, 19.36], ""scorePrediction"": [1, 2]}",,,"{""predictions"": [71.63, 28.37, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [56.38, 22.62, 21.0], ""scorePrediction"": [2, 1]}","{""predictions"": [64.38, 35.62, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [50.88, 28.33, 20.79], ""scorePrediction"": [2, 1]}","{""predictions"": [74.79, 25.21, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [60.19, 19.58, 20.23], ""scorePrediction"": [2, 1]}","{""predictions"": [49.06, 50.94, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [40.59, 39.08, 20.33], ""scorePrediction"": [2, 1]}","{""predictions"": [46.62, 53.38, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.51, 42.63, 19.86], ""scorePrediction"": [1, 2]}","{""predictions"": [64.57, 35.43, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [50.79, 27.47, 21.74], ""scorePrediction"": [2, 1]}","{""predictions"": [54.72, 45.28, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.57, 36.46, 20.97], ""scorePrediction"": [2, 1]}","{""predictions"": [61.76, 38.24, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.46, 29.74, 20.8], ""scorePrediction"": [2, 1]}","{""predictions"": [62.28, 37.72, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [50.86, 28.13, 21.01], ""scorePrediction"": [2, 1]}"
Greece,"{""predictions"": [47.29, 52.71, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [34.23, 39.54, 26.23], ""scorePrediction"": [0, 1]}","{""predictions"": [50.64, 49.36, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [37.04, 36.47, 26.49], ""scorePrediction"": [1, 0]}","{""predictions"": [28.08, 71.92, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [21.69, 57.62, 20.69], ""scorePrediction"": [1, 2]}","{""predictions"": [41.17, 58.83, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [31.14, 44.78, 24.08], ""scorePrediction"": [1, 2]}","{""predictions"": [39.13, 60.87, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.0, 46.44, 23.56], ""scorePrediction"": [1, 2]}","{""predictions"": [26.81, 73.19, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [21.12, 58.91, 19.97], ""scorePrediction"": [1, 2]}","{""predictions"": [29.26, 70.74, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [22.33, 56.41, 21.26], ""scorePrediction"": [1, 2]}",,,"{""predictions"": [44.12, 55.88, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.71, 43.07, 24.22], ""scorePrediction"": [0, 1]}","{""predictions"": [55.31, 44.69, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [41.0, 31.99, 27.01], ""scorePrediction"": [1, 0]}","{""predictions"": [27.44, 72.56, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [22.77, 56.22, 21.01], ""scorePrediction"": [1, 2]}","{""predictions"": [26.44, 73.56, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [20.34, 59.22, 20.44], ""scorePrediction"": [1, 2]}","{""predictions"": [43.38, 56.62, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.23, 42.82, 24.95], ""scorePrediction"": [0, 1]}","{""predictions"": [32.41, 67.59, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [25.09, 52.82, 22.09], ""scorePrediction"": [1, 2]}","{""predictions"": [40.45, 59.55, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.05, 46.49, 23.46], ""scorePrediction"": [0, 1]}","{""predictions"": [41.99, 58.01, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.83, 44.67, 24.5], ""scorePrediction"": [0, 1]}"
Italy,"{""predictions"": [53.39, 46.61, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [40.14, 35.93, 23.93], ""scorePrediction"": [2, 1]}","{""predictions"": [57.43, 42.57, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [41.72, 33.31, 24.97], ""scorePrediction"": [1, 0]}","{""predictions"": [34.06, 65.94, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [26.53, 52.42, 21.05], ""scorePrediction"": [1, 2]}","{""predictions"": [47.86, 52.14, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.79, 41.06, 23.15], ""scorePrediction"": [1, 2]}","{""predictions"": [45.62, 54.38, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.43, 42.99, 22.58], ""scorePrediction"": [1, 2]}","{""predictions"": [32.63, 67.37, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [25.28, 54.59, 20.13], ""scorePrediction"": [1, 2]}","{""predictions"": [35.73, 64.27, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.94, 51.12, 20.94], ""scorePrediction"": [1, 2]}","{""predictions"": [56.69, 43.31, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [42.58, 32.5, 24.92], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [61.86, 38.14, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [45.25, 28.49, 26.26], ""scorePrediction"": [1, 0]}","{""predictions"": [34.77, 65.23, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.62, 51.43, 20.95], ""scorePrediction"": [1, 2]}","{""predictions"": [31.9, 68.1, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [25.78, 54.16, 20.06], ""scorePrediction"": [1, 2]}","{""predictions"": [49.57, 50.43, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.84, 38.36, 24.8], ""scorePrediction"": [1, 2]}","{""predictions"": [38.8, 61.2, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.73, 48.16, 22.11], ""scorePrediction"": [1, 2]}","{""predictions"": [46.0, 54.0, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.97, 41.34, 22.69], ""scorePrediction"": [1, 2]}","{""predictions"": [48.36, 51.64, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.63, 39.56, 23.81], ""scorePrediction"": [1, 2]}"
Latvia,"{""predictions"": [42.64, 57.36, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [31.33, 42.58, 26.09], ""scorePrediction"": [0, 1]}","{""predictions"": [45.61, 54.39, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [33.34, 39.69, 26.97], ""scorePrediction"": [0, 1]}","{""predictions"": [35.51, 64.49, 0.0], ""scorePrediction"": [0, 3]}","{""predictions"": [34.69, 60.35, 4.96], ""scorePrediction"": [0, 3]}","{""predictions"": [36.19, 63.81, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [26.86, 48.45, 24.69], ""scorePrediction"": [0, 1]}","{""predictions"": [37.76, 62.24, 0.0], ""scorePrediction"": [0, 2]}","{""predictions"": [33.77, 59.17, 7.06], ""scorePrediction"": [0, 2]}","{""predictions"": [35.89, 64.11, 0.0], ""scorePrediction"": [0, 3]}","{""predictions"": [34.44, 60.65, 4.91], ""scorePrediction"": [0, 3]}","{""predictions"": [24.46, 75.54, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [19.27, 60.09, 20.64], ""scorePrediction"": [1, 2]}","{""predictions"": [44.62, 55.38, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [31.65, 40.96, 27.39], ""scorePrediction"": [0, 1]}","{""predictions"": [38.98, 61.02, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [28.66, 46.01, 25.33], ""scorePrediction"": [0, 1]}",,,"{""predictions"": [36.78, 63.22, 0.0], ""scorePrediction"": [0, 2]}","{""predictions"": [34.64, 60.28, 5.08], ""scorePrediction"": [0, 3]}","{""predictions"": [22.31, 77.69, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [17.91, 62.54, 19.55], ""scorePrediction"": [1, 2]}","{""predictions"": [38.69, 61.31, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [29.1, 45.55, 25.35], ""scorePrediction"": [0, 1]}","{""predictions"": [36.69, 63.31, 0.0], ""scorePrediction"": [0, 3]}","{""predictions"": [35.63, 58.7, 5.67], ""scorePrediction"": [0, 2]}","{""predictions"": [34.37, 65.63, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [25.42, 50.68, 23.9], ""scorePrediction"": [0, 1]}","{""predictions"": [37.53, 62.47, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [27.67, 46.58, 25.75], ""scorePrediction"": [0, 1]}"
