home_team,Austria_0,Austria_1,Croatia_0,Croatia_1,Czechia_0,Czechia_1,France_0,France_1,Germany_0,Germany_1,Greece_0,Greece_1,Italy_0,Italy_1,Netherlands_0,Netherlands_1,Poland_0,Poland_1,Portugal_0,Portugal_1,Romania_0,Romania_1,Russia_0,Russia_1,Spain_0,Spain_1,Sweden_0,Sweden_1,Switzerland_0,Switzerland_1,Turkey_0,Turkey_1
Austria,,,"{""predictions"": [35.98, 64.02, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.13, 50.15, 21.72], ""scorePrediction"": [1, 2]}","{""predictions"": [31.05, 68.95, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [24.19, 53.73, 22.08], ""scorePrediction"": [1, 2]}","{""predictions"": [43.24, 56.76, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [32.65, 41.77, 25.58], ""scorePrediction"": [0, 1]}","{""predictions"": [23.17, 76.83, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [19.71, 61.8, 18.49], ""scorePrediction"": [1, 2]}","{""predictions"": [51.43, 48.57, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [37.57, 36.17, 26.26], ""scorePrediction"": [1, 0]}","{""predictions"": [39.55, 60.45, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.72, 45.41, 24.87], ""scorePrediction"": [1, 2]}","{""predictions"": [38.61, 61.39, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [29.14, 47.27, 23.59], ""scorePrediction"": [1, 2]}","{""predictions"": [35.82, 64.18, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.98, 49.21, 22.81], ""scorePrediction"": [1, 2]}","{""predictions"": [32.75, 67.25, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [24.99, 52.83, 22.18], ""scorePrediction"": [1, 2]}","{""predictions"": [32.75, 67.25, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [26.37, 51.18, 22.45], ""scorePrediction"": [1, 2]}","{""predictions"": [39.11, 60.89, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.73, 46.3, 23.97], ""scorePrediction"": [1, 2]}","{""predictions"": [34.21, 65.79, 0.0], ""scorePrediction"": [0, 2]}","{""predictions"": [31.16, 60.61, 8.23], ""scorePrediction"": [0, 2]}","{""predictions"": [42.87, 57.13, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [31.72, 43.6, 24.68], ""scorePrediction"": [0, 1]}","{""predictions"": [45.23, 54.77, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [33.1, 42.08, 24.82], ""scorePrediction"": [0, 1]}","{""predictions"": [38.85, 61.15, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.05, 45.37, 24.58], ""scorePrediction"": [1, 2]}"
Croatia,"{""predictions"": [64.15, 35.85, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.65, 27.67, 22.68], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [44.96, 55.04, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.17, 42.83, 22.0], ""scorePrediction"": [1, 2]}","{""predictions"": [57.85, 42.15, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.9, 32.33, 22.77], ""scorePrediction"": [2, 1]}","{""predictions"": [36.59, 63.41, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.09, 50.85, 19.06], ""scorePrediction"": [1, 2]}","{""predictions"": [65.5, 34.5, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.16, 25.81, 23.03], ""scorePrediction"": [2, 1]}","{""predictions"": [55.28, 44.72, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.13, 34.63, 23.24], ""scorePrediction"": [2, 1]}","{""predictions"": [53.01, 46.99, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.45, 36.32, 22.23], ""scorePrediction"": [2, 1]}","{""predictions"": [50.95, 49.05, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [38.3, 39.89, 21.81], ""scorePrediction"": [1, 2]}","{""predictions"": [45.98, 54.02, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.64, 41.75, 21.61], ""scorePrediction"": [1, 2]}","{""predictions"": [48.13, 51.87, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.89, 40.75, 22.36], ""scorePrediction"": [1, 2]}","{""predictions"": [54.02, 45.98, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.16, 35.7, 22.14], ""scorePrediction"": [2, 1]}","{""predictions"": [51.09, 48.91, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [38.8, 38.88, 22.32], ""scorePrediction"": [1, 2]}","{""predictions"": [58.12, 41.88, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.1, 33.17, 21.73], ""scorePrediction"": [2, 1]}","{""predictions"": [60.29, 39.71, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.46, 30.6, 22.94], ""scorePrediction"": [2, 1]}","{""predictions"": [54.74, 45.26, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.58, 36.3, 22.12], ""scorePrediction"": [2, 1]}"
Czechia,"{""predictions"": [69.08, 30.92, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [54.08, 24.6, 21.32], ""scorePrediction"": [2, 1]}","{""predictions"": [55.22, 44.78, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.38, 35.46, 21.16], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [63.21, 36.79, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.45, 28.74, 21.81], ""scorePrediction"": [2, 1]}","{""predictions"": [40.9, 59.1, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.18, 48.52, 19.3], ""scorePrediction"": [1, 2]}","{""predictions"": [69.97, 30.03, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [55.12, 23.68, 21.2], ""scorePrediction"": [2, 1]}","{""predictions"": [61.26, 38.74, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.21, 32.12, 21.67], ""scorePrediction"": [2, 1]}","{""predictions"": [57.18, 42.82, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.12, 33.77, 22.11], ""scorePrediction"": [2, 1]}","{""predictions"": [55.98, 44.02, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.38, 35.03, 21.59], ""scorePrediction"": [2, 1]}","{""predictions"": [51.51, 48.49, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.69, 38.59, 20.72], ""scorePrediction"": [2, 1]}","{""predictions"": [52.66, 47.34, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.97, 37.09, 20.94], ""scorePrediction"": [2, 1]}","{""predictions"": [60.11, 39.89, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.19, 31.83, 21.98], ""scorePrediction"": [2, 1]}","{""predictions"": [55.87, 44.13, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.51, 34.75, 21.74], ""scorePrediction"": [2, 1]}","{""predictions"": [62.53, 37.47, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.21, 29.91, 21.88], ""scorePrediction"": [2, 1]}","{""predictions"": [64.97, 35.03, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.76, 28.76, 22.48], ""scorePrediction"": [2, 1]}","{""predictions"": [58.29, 41.71, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.34, 31.8, 21.86], ""scorePrediction"": [2, 1]}"
France,"{""predictions"": [55.78, 44.22, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [42.79, 32.56, 24.65], ""scorePrediction"": [2, 1]}","{""predictions"": [41.23, 58.77, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.76, 45.04, 22.2], ""scorePrediction"": [1, 2]}","{""predictions"": [37.22, 62.78, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.11, 48.98, 21.91], ""scorePrediction"": [1, 2]}",,,"{""predictions"": [28.29, 71.71, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [22.77, 58.03, 19.2], ""scorePrediction"": [1, 2]}","{""predictions"": [56.72, 43.28, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [42.87, 31.98, 25.15], ""scorePrediction"": [1, 0]}","{""predictions"": [46.31, 53.69, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.76, 40.97, 23.27], ""scorePrediction"": [1, 2]}","{""predictions"": [43.08, 56.92, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.27, 42.78, 22.95], ""scorePrediction"": [1, 2]}","{""predictions"": [42.31, 57.69, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.35, 44.85, 21.8], ""scorePrediction"": [1, 2]}","{""predictions"": [38.48, 61.52, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.81, 47.65, 22.54], ""scorePrediction"": [1, 2]}","{""predictions"": [39.66, 60.34, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.54, 47.75, 21.71], ""scorePrediction"": [1, 2]}","{""predictions"": [46.86, 53.14, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.8, 41.47, 23.73], ""scorePrediction"": [1, 2]}","{""predictions"": [43.37, 56.63, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.29, 44.37, 23.34], ""scorePrediction"": [1, 2]}","{""predictions"": [48.97, 51.03, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.87, 37.99, 24.14], ""scorePrediction"": [1, 2]}","{""predictions"": [51.06, 48.94, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.29, 36.19, 24.52], ""scorePrediction"": [2, 1]}","{""predictions"": [45.78, 54.22, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.98, 42.32, 23.7], ""scorePrediction"": [1, 2]}"
Germany,"{""predictions"": [76.74, 23.26, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [62.91, 18.62, 18.47], ""scorePrediction"": [2, 1]}","{""predictions"": [64.81, 35.19, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.77, 28.91, 19.32], ""scorePrediction"": [2, 1]}","{""predictions"": [58.6, 41.4, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.79, 33.29, 18.92], ""scorePrediction"": [2, 1]}","{""predictions"": [71.04, 28.96, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [58.86, 22.37, 18.77], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [77.48, 22.52, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [62.74, 19.0, 18.26], ""scorePrediction"": [2, 1]}","{""predictions"": [68.41, 31.59, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [55.01, 25.49, 19.5], ""scorePrediction"": [2, 1]}","{""predictions"": [65.42, 34.58, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [53.39, 27.42, 19.19], ""scorePrediction"": [2, 1]}","{""predictions"": [63.51, 36.49, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.73, 28.8, 19.47], ""scorePrediction"": [2, 1]}","{""predictions"": [60.46, 39.54, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.38, 31.4, 19.22], ""scorePrediction"": [2, 1]}","{""predictions"": [63.15, 36.85, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [50.22, 30.34, 19.44], ""scorePrediction"": [2, 1]}","{""predictions"": [68.63, 31.37, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [54.5, 26.14, 19.36], ""scorePrediction"": [2, 1]}","{""predictions"": [64.9, 35.1, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [53.58, 27.19, 19.23], ""scorePrediction"": [2, 1]}","{""predictions"": [70.39, 29.61, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [56.6, 24.15, 19.25], ""scorePrediction"": [2, 1]}","{""predictions"": [72.6, 27.4, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [58.15, 22.3, 19.55], ""scorePrediction"": [2, 1]}","{""predictions"": [67.55, 32.45, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [54.82, 25.99, 19.19], ""scorePrediction"": [2, 1]}"
Greece,"{""predictions"": [48.09, 51.91, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [35.65, 38.54, 25.81], ""scorePrediction"": [0, 1]}","{""predictions"": [34.92, 65.08, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.14, 49.95, 22.91], ""scorePrediction"": [1, 2]}","{""predictions"": [31.12, 68.88, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [23.51, 55.18, 21.31], ""scorePrediction"": [1, 2]}","{""predictions"": [42.59, 57.41, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [31.82, 42.31, 25.87], ""scorePrediction"": [0, 1]}","{""predictions"": [23.08, 76.92, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [18.58, 62.85, 18.57], ""scorePrediction"": [1, 2]}",,,"{""predictions"": [39.32, 60.68, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [29.42, 45.62, 24.96], ""scorePrediction"": [0, 1]}","{""predictions"": [36.6, 63.4, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.74, 48.32, 23.94], ""scorePrediction"": [1, 2]}","{""predictions"": [34.87, 65.13, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [26.81, 50.21, 22.98], ""scorePrediction"": [1, 2]}","{""predictions"": [31.9, 68.1, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [24.79, 53.62, 21.59], ""scorePrediction"": [1, 2]}","{""predictions"": [32.12, 67.88, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [24.49, 53.31, 22.2], ""scorePrediction"": [1, 2]}","{""predictions"": [39.04, 60.96, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.15, 46.76, 24.09], ""scorePrediction"": [1, 2]}","{""predictions"": [34.56, 65.44, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.14, 49.34, 23.52], ""scorePrediction"": [1, 2]}","{""predictions"": [41.31, 58.69, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [30.74, 44.5, 24.76], ""scorePrediction"": [1, 2]}","{""predictions"": [43.83, 56.17, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [31.96, 42.29, 25.75], ""scorePrediction"": [0, 1]}","{""predictions"": [38.61, 61.39, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.88, 46.39, 24.73], ""scorePrediction"": [1, 2]}"
Italy,"{""predictions"": [60.08, 39.92, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.03, 30.52, 24.45], ""scorePrediction"": [2, 1]}","{""predictions"": [45.28, 54.72, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.96, 43.07, 21.97], ""scorePrediction"": [1, 2]}","{""predictions"": [40.58, 59.42, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.95, 47.37, 21.68], ""scorePrediction"": [1, 2]}","{""predictions"": [53.99, 46.01, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.88, 35.42, 23.7], ""scorePrediction"": [2, 1]}","{""predictions"": [30.99, 69.01, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [25.39, 55.17, 19.44], ""scorePrediction"": [1, 2]}","{""predictions"": [61.8, 38.2, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [46.08, 29.92, 24.0], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [46.81, 53.19, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.06, 41.68, 22.26], ""scorePrediction"": [1, 2]}","{""predictions"": [45.04, 54.96, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.97, 42.22, 22.81], ""scorePrediction"": [1, 2]}","{""predictions"": [40.84, 59.16, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.77, 46.15, 22.08], ""scorePrediction"": [1, 2]}","{""predictions"": [43.15, 56.85, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.69, 44.51, 21.8], ""scorePrediction"": [1, 2]}","{""predictions"": [48.99, 51.01, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.9, 39.61, 22.49], ""scorePrediction"": [1, 2]}","{""predictions"": [45.62, 54.38, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.62, 42.8, 22.58], ""scorePrediction"": [1, 2]}","{""predictions"": [52.1, 47.9, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.75, 36.61, 23.64], ""scorePrediction"": [2, 1]}","{""predictions"": [54.54, 45.46, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.12, 35.04, 23.84], ""scorePrediction"": [2, 1]}","{""predictions"": [49.03, 50.97, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.06, 39.07, 23.87], ""scorePrediction"": [1, 2]}"
Netherlands,"{""predictions"": [62.41, 37.59, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.98, 29.23, 22.79], ""scorePrediction"": [2, 1]}","{""predictions"": [48.14, 51.86, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.79, 40.31, 22.9], ""scorePrediction"": [1, 2]}","{""predictions"": [44.9, 55.1, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.99, 46.03, 20.98], ""scorePrediction"": [1, 2]}","{""predictions"": [55.49, 44.51, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.06, 33.73, 23.21], ""scorePrediction"": [2, 1]}","{""predictions"": [32.91, 67.09, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.69, 52.37, 19.94], ""scorePrediction"": [1, 2]}","{""predictions"": [62.72, 37.28, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.33, 27.78, 23.89], ""scorePrediction"": [2, 1]}","{""predictions"": [52.0, 48.0, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.03, 36.48, 23.49], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [48.87, 51.13, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.31, 39.79, 22.9], ""scorePrediction"": [1, 2]}","{""predictions"": [43.31, 56.69, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.73, 44.22, 22.05], ""scorePrediction"": [1, 2]}","{""predictions"": [45.26, 54.74, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.62, 43.09, 21.29], ""scorePrediction"": [1, 2]}","{""predictions"": [51.3, 48.7, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.25, 37.48, 23.27], ""scorePrediction"": [2, 1]}","{""predictions"": [48.32, 51.68, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.62, 40.5, 22.88], ""scorePrediction"": [1, 2]}","{""predictions"": [54.65, 45.35, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.84, 34.63, 23.53], ""scorePrediction"": [2, 1]}","{""predictions"": [56.65, 43.35, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.1, 32.14, 23.76], ""scorePrediction"": [2, 1]}","{""predictions"": [51.44, 48.56, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.06, 37.21, 22.73], ""scorePrediction"": [2, 1]}"
Poland,"{""predictions"": [64.03, 35.97, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.57, 27.86, 22.57], ""scorePrediction"": [2, 1]}","{""predictions"": [49.6, 50.4, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.31, 39.75, 21.94], ""scorePrediction"": [1, 2]}","{""predictions"": [45.41, 54.59, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.56, 43.1, 21.34], ""scorePrediction"": [1, 2]}","{""predictions"": [57.87, 42.13, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.55, 32.52, 22.93], ""scorePrediction"": [2, 1]}","{""predictions"": [36.37, 63.63, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.17, 52.5, 18.33], ""scorePrediction"": [1, 2]}","{""predictions"": [66.18, 33.82, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [50.23, 26.49, 23.28], ""scorePrediction"": [2, 1]}","{""predictions"": [54.95, 45.05, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.9, 34.79, 22.31], ""scorePrediction"": [2, 1]}","{""predictions"": [51.37, 48.63, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.97, 38.34, 21.69], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [46.04, 53.96, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.69, 43.52, 20.79], ""scorePrediction"": [1, 2]}","{""predictions"": [46.66, 53.34, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.93, 41.39, 21.68], ""scorePrediction"": [1, 2]}","{""predictions"": [53.22, 46.78, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.3, 35.37, 23.33], ""scorePrediction"": [2, 1]}","{""predictions"": [51.59, 48.41, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [38.54, 38.63, 22.83], ""scorePrediction"": [1, 2]}","{""predictions"": [56.8, 43.2, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.52, 33.67, 22.81], ""scorePrediction"": [2, 1]}","{""predictions"": [58.95, 41.05, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.82, 31.19, 22.99], ""scorePrediction"": [2, 1]}","{""predictions"": [52.64, 47.36, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.06, 36.54, 22.4], ""scorePrediction"": [2, 1]}"
Portugal,"{""predictions"": [66.99, 33.01, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.62, 25.89, 22.49], ""scorePrediction"": [2, 1]}","{""predictions"": [52.75, 47.25, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.54, 36.21, 22.25], ""scorePrediction"": [2, 1]}","{""predictions"": [47.95, 52.05, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.65, 41.07, 20.28], ""scorePrediction"": [1, 2]}","{""predictions"": [61.17, 38.83, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.46, 29.42, 22.12], ""scorePrediction"": [2, 1]}","{""predictions"": [39.76, 60.24, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.96, 48.74, 19.3], ""scorePrediction"": [1, 2]}","{""predictions"": [68.41, 31.59, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [53.2, 24.98, 21.82], ""scorePrediction"": [2, 1]}","{""predictions"": [58.62, 41.38, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.28, 33.21, 21.51], ""scorePrediction"": [2, 1]}","{""predictions"": [56.08, 43.92, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.58, 34.54, 21.88], ""scorePrediction"": [2, 1]}","{""predictions"": [53.74, 46.26, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.27, 36.55, 21.18], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [52.51, 47.49, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.27, 39.01, 20.72], ""scorePrediction"": [2, 1]}","{""predictions"": [58.38, 41.62, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.61, 32.93, 22.46], ""scorePrediction"": [2, 1]}","{""predictions"": [53.73, 46.27, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.16, 34.79, 22.05], ""scorePrediction"": [2, 1]}","{""predictions"": [60.85, 39.15, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.67, 30.83, 22.5], ""scorePrediction"": [2, 1]}","{""predictions"": [63.22, 36.78, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.74, 28.96, 22.3], ""scorePrediction"": [2, 1]}","{""predictions"": [56.49, 43.51, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.25, 33.97, 21.78], ""scorePrediction"": [2, 1]}"
