home_team,Croatia_0,Croatia_1,Czechia_0,Czechia_1,Denmark_0,Denmark_1,England_0,England_1,France_0,France_1,Germany_0,Germany_1,Greece_0,Greece_1,Ireland_0,Ireland_1,Italy_0,Italy_1,Netherlands_0,Netherlands_1,Poland_0,Poland_1,Portugal_0,Portugal_1,Russia_0,Russia_1,Spain_0,Spain_1,Sweden_0,Sweden_1,Ukraine_0,Ukraine_1
Croatia,,,"{""predictions"": [55.82, 44.18, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.65, 33.41, 23.94], ""scorePrediction"": [2, 1]}","{""predictions"": [60.02, 39.98, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.97, 31.13, 23.9], ""scorePrediction"": [2, 1]}","{""predictions"": [39.66, 60.34, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.75, 47.69, 20.56], ""scorePrediction"": [1, 2]}","{""predictions"": [61.18, 38.82, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.71, 29.54, 23.75], ""scorePrediction"": [2, 1]}","{""predictions"": [34.21, 65.79, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [26.78, 54.32, 18.9], ""scorePrediction"": [1, 2]}","{""predictions"": [62.9, 37.1, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.93, 27.31, 24.76], ""scorePrediction"": [2, 1]}","{""predictions"": [60.91, 39.09, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.63, 30.78, 23.59], ""scorePrediction"": [2, 1]}","{""predictions"": [57.2, 42.8, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.28, 31.66, 24.06], ""scorePrediction"": [2, 1]}","{""predictions"": [35.81, 64.19, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.6, 52.01, 19.39], ""scorePrediction"": [1, 2]}","{""predictions"": [60.39, 39.61, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [45.43, 30.62, 23.95], ""scorePrediction"": [2, 1]}","{""predictions"": [42.96, 57.04, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.3, 44.58, 22.12], ""scorePrediction"": [1, 2]}","{""predictions"": [52.37, 47.63, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.78, 36.38, 22.84], ""scorePrediction"": [2, 1]}","{""predictions"": [33.76, 66.24, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.03, 52.96, 20.01], ""scorePrediction"": [1, 2]}","{""predictions"": [52.62, 47.38, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.41, 36.72, 22.87], ""scorePrediction"": [2, 1]}","{""predictions"": [51.04, 48.96, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.4, 37.07, 22.53], ""scorePrediction"": [2, 1]}"
Czechia,"{""predictions"": [43.47, 56.53, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.41, 43.18, 22.41], ""scorePrediction"": [1, 2]}",,,"{""predictions"": [53.98, 46.02, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.9, 34.91, 25.19], ""scorePrediction"": [1, 0]}","{""predictions"": [34.1, 65.9, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.21, 52.26, 20.53], ""scorePrediction"": [1, 2]}","{""predictions"": [54.94, 45.06, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.02, 33.48, 26.5], ""scorePrediction"": [2, 1]}","{""predictions"": [27.21, 72.79, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [22.73, 58.13, 19.14], ""scorePrediction"": [1, 2]}","{""predictions"": [57.66, 42.34, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [42.3, 32.26, 25.44], ""scorePrediction"": [1, 0]}","{""predictions"": [54.39, 45.61, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.35, 34.05, 25.6], ""scorePrediction"": [1, 0]}","{""predictions"": [50.79, 49.21, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [39.02, 35.9, 25.08], ""scorePrediction"": [2, 1]}","{""predictions"": [28.53, 71.47, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [23.88, 56.03, 20.09], ""scorePrediction"": [1, 2]}","{""predictions"": [53.13, 46.87, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [39.4, 35.05, 25.55], ""scorePrediction"": [1, 0]}","{""predictions"": [37.91, 62.09, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.03, 49.56, 21.41], ""scorePrediction"": [1, 2]}","{""predictions"": [46.44, 53.56, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.16, 40.74, 24.1], ""scorePrediction"": [1, 2]}","{""predictions"": [27.96, 72.04, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [22.95, 58.21, 18.84], ""scorePrediction"": [1, 2]}","{""predictions"": [46.18, 53.82, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.96, 40.4, 24.64], ""scorePrediction"": [1, 2]}","{""predictions"": [45.28, 54.72, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.27, 41.83, 23.9], ""scorePrediction"": [1, 2]}"
Denmark,"{""predictions"": [41.07, 58.93, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.56, 46.37, 23.07], ""scorePrediction"": [1, 2]}","{""predictions"": [46.31, 53.69, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [34.16, 41.37, 24.47], ""scorePrediction"": [0, 1]}",,,"{""predictions"": [31.69, 68.31, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [25.06, 54.2, 20.74], ""scorePrediction"": [1, 2]}","{""predictions"": [51.38, 48.62, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [37.52, 36.28, 26.2], ""scorePrediction"": [1, 0]}","{""predictions"": [24.71, 75.29, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [19.46, 61.95, 18.59], ""scorePrediction"": [1, 2]}","{""predictions"": [52.41, 47.59, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [39.57, 33.92, 26.51], ""scorePrediction"": [1, 0]}","{""predictions"": [50.18, 49.82, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [37.2, 36.98, 25.82], ""scorePrediction"": [1, 0]}","{""predictions"": [48.75, 51.25, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [35.91, 39.25, 24.84], ""scorePrediction"": [1, 2]}","{""predictions"": [27.05, 72.95, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [21.14, 59.32, 19.54], ""scorePrediction"": [1, 2]}","{""predictions"": [49.92, 50.08, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [37.02, 36.64, 26.34], ""scorePrediction"": [1, 0]}","{""predictions"": [32.43, 67.57, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [26.15, 51.88, 21.97], ""scorePrediction"": [1, 2]}","{""predictions"": [42.59, 57.41, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.38, 43.06, 24.56], ""scorePrediction"": [0, 1]}","{""predictions"": [25.72, 74.28, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [20.69, 60.03, 19.28], ""scorePrediction"": [1, 2]}","{""predictions"": [43.03, 56.97, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.09, 43.92, 24.99], ""scorePrediction"": [1, 2]}","{""predictions"": [42.07, 57.93, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [32.33, 44.03, 23.64], ""scorePrediction"": [1, 2]}"
England,"{""predictions"": [60.11, 39.89, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.31, 31.41, 20.28], ""scorePrediction"": [2, 1]}","{""predictions"": [65.86, 34.14, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [52.29, 26.82, 20.89], ""scorePrediction"": [2, 1]}","{""predictions"": [69.59, 30.41, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [55.06, 24.16, 20.78], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [69.93, 30.07, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [54.95, 24.07, 20.98], ""scorePrediction"": [2, 1]}","{""predictions"": [42.72, 57.28, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.39, 46.65, 18.96], ""scorePrediction"": [1, 2]}","{""predictions"": [72.86, 27.14, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [56.58, 22.51, 20.91], ""scorePrediction"": [2, 1]}","{""predictions"": [69.99, 30.01, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [55.15, 23.51, 21.34], ""scorePrediction"": [2, 1]}","{""predictions"": [66.62, 33.38, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [53.32, 25.63, 21.05], ""scorePrediction"": [2, 1]}","{""predictions"": [44.89, 55.11, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.65, 43.42, 19.93], ""scorePrediction"": [1, 2]}","{""predictions"": [68.29, 31.71, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [54.24, 24.2, 21.56], ""scorePrediction"": [2, 1]}","{""predictions"": [53.17, 46.83, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.43, 37.42, 20.15], ""scorePrediction"": [2, 1]}","{""predictions"": [62.03, 37.97, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.4, 28.93, 21.67], ""scorePrediction"": [2, 1]}","{""predictions"": [42.84, 57.16, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.7, 46.05, 19.25], ""scorePrediction"": [1, 2]}","{""predictions"": [63.36, 36.64, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.84, 30.34, 20.82], ""scorePrediction"": [2, 1]}","{""predictions"": [61.27, 38.73, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.54, 30.26, 21.2], ""scorePrediction"": [2, 1]}"
France,"{""predictions"": [39.52, 60.48, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.3, 45.68, 24.02], ""scorePrediction"": [1, 2]}","{""predictions"": [44.92, 55.08, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.15, 40.75, 25.1], ""scorePrediction"": [1, 2]}","{""predictions"": [48.08, 51.92, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [36.16, 37.66, 26.18], ""scorePrediction"": [0, 1]}","{""predictions"": [31.04, 68.96, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [23.48, 56.21, 20.31], ""scorePrediction"": [1, 2]}",,,"{""predictions"": [24.17, 75.83, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [20.25, 61.06, 18.69], ""scorePrediction"": [1, 2]}","{""predictions"": [52.48, 47.52, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [39.09, 34.88, 26.03], ""scorePrediction"": [1, 0]}","{""predictions"": [49.55, 50.45, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [35.97, 37.48, 26.55], ""scorePrediction"": [0, 1]}","{""predictions"": [47.36, 52.64, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [35.22, 39.21, 25.57], ""scorePrediction"": [0, 1]}","{""predictions"": [26.81, 73.19, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [21.32, 59.68, 19.0], ""scorePrediction"": [1, 2]}","{""predictions"": [48.35, 51.65, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [35.14, 38.57, 26.29], ""scorePrediction"": [0, 1]}","{""predictions"": [33.12, 66.88, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [24.95, 52.65, 22.4], ""scorePrediction"": [1, 2]}","{""predictions"": [41.59, 58.41, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.57, 43.65, 24.78], ""scorePrediction"": [1, 2]}","{""predictions"": [24.22, 75.78, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [20.18, 61.08, 18.74], ""scorePrediction"": [1, 2]}","{""predictions"": [42.22, 57.78, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.87, 44.21, 23.92], ""scorePrediction"": [1, 2]}","{""predictions"": [41.67, 58.33, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.02, 44.92, 24.06], ""scorePrediction"": [1, 2]}"
Germany,"{""predictions"": [66.69, 33.31, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [54.65, 25.89, 19.46], ""scorePrediction"": [2, 1]}","{""predictions"": [72.14, 27.86, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [58.08, 22.75, 19.17], ""scorePrediction"": [2, 1]}","{""predictions"": [74.14, 25.86, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [61.24, 20.35, 18.41], ""scorePrediction"": [2, 1]}","{""predictions"": [57.69, 42.31, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.1, 33.65, 19.25], ""scorePrediction"": [2, 1]}","{""predictions"": [76.21, 23.79, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [61.09, 19.64, 19.27], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [77.82, 22.18, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [63.25, 18.28, 18.47], ""scorePrediction"": [2, 1]}","{""predictions"": [75.79, 24.21, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [61.08, 20.13, 18.79], ""scorePrediction"": [2, 1]}","{""predictions"": [73.57, 26.43, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [60.29, 20.61, 19.1], ""scorePrediction"": [2, 1]}","{""predictions"": [52.74, 47.26, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.07, 37.58, 19.35], ""scorePrediction"": [2, 1]}","{""predictions"": [74.76, 25.24, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [61.02, 20.16, 18.82], ""scorePrediction"": [2, 1]}","{""predictions"": [59.71, 40.29, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.92, 31.67, 19.41], ""scorePrediction"": [2, 1]}","{""predictions"": [69.04, 30.96, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [56.22, 24.96, 18.82], ""scorePrediction"": [2, 1]}","{""predictions"": [51.28, 48.72, 0.0], ""scorePrediction"": [3, 2]}","{""predictions"": [41.4, 40.42, 18.18], ""scorePrediction"": [2, 1]}","{""predictions"": [68.81, 31.19, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [56.08, 24.37, 19.55], ""scorePrediction"": [2, 1]}","{""predictions"": [68.22, 31.78, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [54.31, 26.23, 19.46], ""scorePrediction"": [2, 1]}"
Greece,"{""predictions"": [36.16, 63.84, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.3, 47.95, 23.75], ""scorePrediction"": [1, 2]}","{""predictions"": [42.36, 57.64, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [31.44, 42.55, 26.01], ""scorePrediction"": [0, 1]}","{""predictions"": [45.88, 54.12, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [34.54, 38.62, 26.84], ""scorePrediction"": [0, 1]}","{""predictions"": [27.72, 72.28, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [22.47, 56.38, 21.15], ""scorePrediction"": [1, 2]}","{""predictions"": [46.26, 53.74, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [34.23, 38.76, 27.01], ""scorePrediction"": [0, 1]}","{""predictions"": [21.86, 78.14, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [17.96, 63.7, 18.34], ""scorePrediction"": [1, 2]}",,,"{""predictions"": [46.57, 53.43, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [34.0, 39.97, 26.03], ""scorePrediction"": [0, 1]}","{""predictions"": [44.45, 55.55, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [32.39, 41.27, 26.34], ""scorePrediction"": [0, 1]}","{""predictions"": [24.42, 75.58, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [19.05, 61.2, 19.75], ""scorePrediction"": [1, 2]}","{""predictions"": [46.91, 53.09, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [33.43, 40.29, 26.28], ""scorePrediction"": [0, 1]}","{""predictions"": [30.1, 69.9, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [24.04, 54.53, 21.43], ""scorePrediction"": [1, 2]}","{""predictions"": [38.94, 61.06, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [29.29, 46.31, 24.4], ""scorePrediction"": [0, 1]}","{""predictions"": [22.76, 77.24, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [18.2, 62.51, 19.29], ""scorePrediction"": [1, 2]}","{""predictions"": [38.51, 61.49, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.23, 45.93, 24.84], ""scorePrediction"": [0, 1]}","{""predictions"": [37.84, 62.16, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [28.54, 46.49, 24.97], ""scorePrediction"": [1, 2]}"
Ireland,"{""predictions"": [39.44, 60.56, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.26, 45.51, 24.23], ""scorePrediction"": [1, 2]}","{""predictions"": [46.48, 53.52, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [34.54, 39.78, 25.68], ""scorePrediction"": [1, 2]}","{""predictions"": [49.74, 50.26, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [37.59, 37.02, 25.39], ""scorePrediction"": [1, 0]}","{""predictions"": [31.35, 68.65, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [24.74, 55.45, 19.81], ""scorePrediction"": [1, 2]}","{""predictions"": [50.08, 49.92, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [36.78, 36.28, 26.94], ""scorePrediction"": [1, 0]}","{""predictions"": [23.13, 76.87, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [19.58, 61.23, 19.19], ""scorePrediction"": [1, 2]}","{""predictions"": [53.24, 46.76, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [39.05, 34.12, 26.83], ""scorePrediction"": [1, 0]}",,,"{""predictions"": [47.81, 52.19, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [35.72, 39.05, 25.23], ""scorePrediction"": [0, 1]}","{""predictions"": [25.73, 74.27, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [21.35, 58.94, 19.71], ""scorePrediction"": [1, 2]}","{""predictions"": [49.78, 50.22, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [37.05, 36.47, 26.48], ""scorePrediction"": [1, 0]}","{""predictions"": [34.02, 65.98, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [26.3, 51.65, 22.05], ""scorePrediction"": [1, 2]}","{""predictions"": [42.81, 57.19, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.82, 43.5, 24.68], ""scorePrediction"": [1, 2]}","{""predictions"": [24.72, 75.28, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [19.48, 60.82, 19.7], ""scorePrediction"": [1, 2]}","{""predictions"": [43.66, 56.34, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.01, 43.07, 24.92], ""scorePrediction"": [1, 2]}","{""predictions"": [41.78, 58.22, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.99, 44.76, 24.25], ""scorePrediction"": [1, 2]}"
Italy,"{""predictions"": [40.74, 59.26, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.35, 43.85, 23.8], ""scorePrediction"": [1, 2]}","{""predictions"": [48.79, 51.21, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.18, 39.88, 23.94], ""scorePrediction"": [0, 1]}","{""predictions"": [52.22, 47.78, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [37.52, 36.12, 26.36], ""scorePrediction"": [1, 0]}","{""predictions"": [31.96, 68.04, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [25.89, 52.51, 21.6], ""scorePrediction"": [1, 2]}","{""predictions"": [52.22, 47.78, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [39.37, 34.92, 25.71], ""scorePrediction"": [1, 0]}","{""predictions"": [25.48, 74.52, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [21.17, 60.28, 18.55], ""scorePrediction"": [1, 2]}","{""predictions"": [55.34, 44.66, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [40.27, 33.23, 26.5], ""scorePrediction"": [1, 0]}","{""predictions"": [51.62, 48.38, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [37.82, 35.89, 26.29], ""scorePrediction"": [1, 0]}",,,"{""predictions"": [28.6, 71.4, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [23.57, 56.68, 19.75], ""scorePrediction"": [1, 2]}","{""predictions"": [51.7, 48.3, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [38.8, 35.66, 25.54], ""scorePrediction"": [1, 0]}","{""predictions"": [35.09, 64.91, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.79, 50.38, 21.83], ""scorePrediction"": [1, 2]}","{""predictions"": [45.03, 54.97, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.8, 41.49, 24.71], ""scorePrediction"": [1, 2]}","{""predictions"": [27.06, 72.94, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [21.93, 58.92, 19.15], ""scorePrediction"": [1, 2]}","{""predictions"": [44.94, 55.06, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.41, 42.41, 24.18], ""scorePrediction"": [1, 2]}","{""predictions"": [44.14, 55.86, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.03, 42.19, 23.78], ""scorePrediction"": [1, 2]}"
Netherlands,"{""predictions"": [64.73, 35.27, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.47, 27.8, 20.73], ""scorePrediction"": [2, 1]}","{""predictions"": [70.2, 29.8, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [56.05, 24.71, 19.24], ""scorePrediction"": [2, 1]}","{""predictions"": [73.45, 26.55, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [59.04, 21.05, 19.91], ""scorePrediction"": [2, 1]}","{""predictions"": [55.28, 44.72, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.29, 36.51, 20.2], ""scorePrediction"": [2, 1]}","{""predictions"": [73.44, 26.56, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [59.23, 20.88, 19.89], ""scorePrediction"": [2, 1]}","{""predictions"": [47.47, 52.53, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.12, 42.71, 19.17], ""scorePrediction"": [1, 2]}","{""predictions"": [76.2, 23.8, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [60.64, 19.54, 19.82], ""scorePrediction"": [2, 1]}","{""predictions"": [73.33, 26.67, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [58.75, 21.42, 19.83], ""scorePrediction"": [2, 1]}","{""predictions"": [72.54, 27.46, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [57.65, 22.18, 20.17], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [72.86, 27.14, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [57.86, 22.26, 19.88], ""scorePrediction"": [2, 1]}","{""predictions"": [58.59, 41.41, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.53, 34.23, 19.24], ""scorePrediction"": [2, 1]}","{""predictions"": [66.68, 33.32, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [53.63, 27.14, 19.23], ""scorePrediction"": [2, 1]}","{""predictions"": [47.25, 52.75, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [39.14, 42.28, 18.58], ""scorePrediction"": [1, 2]}","{""predictions"": [67.03, 32.97, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [53.86, 26.21, 19.93], ""scorePrediction"": [2, 1]}","{""predictions"": [66.51, 33.49, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [52.86, 26.6, 20.54], ""scorePrediction"": [2, 1]}"
