home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
DE,ES,0,1,,,0,1,2008-06-29T18:45:00Z,Final,Ernst-Happel-Stadion,Vienna
RU,ES,0,3,,,0,3,2008-06-26T18:45:00Z,Semi-finals,Ernst-Happel-Stadion,Vienna
DE,TR,3,2,,,3,2,2008-06-25T18:45:00Z,Semi-finals,St. Jakob-Park,Basel
ES,IT,0,0,4,2,4,2,2008-06-22T18:45:00Z,Quarter-finals,Ernst-Happel-Stadion,Vienna
NL,RU,1,1,,,1,3,2008-06-21T18:45:00Z,Quarter-finals,St. Jakob-Park,Basel
HR,TR,0,0,1,3,1,3,2008-06-20T18:45:00Z,Quarter-finals,Ernst-Happel-Stadion,Vienna
PT,DE,2,3,,,2,3,2008-06-19T18:45:00Z,Quarter-finals,St. Jakob-Park,Basel
RU,SE,2,0,,,2,0,2008-06-18T18:45:00Z,Group D,Tivoli Stadion Tirol,Innsbruck
GR,ES,1,2,,,1,2,2008-06-18T18:45:00Z,Group D,Stadion Salzburg,Salzburg
FR,IT,0,2,,,0,2,2008-06-17T18:45:00Z,Group C,Stadion Letzigrund,Zürich
NL,RO,2,0,,,2,0,2008-06-17T18:45:00Z,Group C,Stadion Wankdorf,Bern
AT,DE,0,1,,,0,1,2008-06-16T18:45:00Z,Group B,Ernst-Happel-Stadion,Vienna
PL,HR,0,1,,,0,1,2008-06-16T18:45:00Z,Group B,Wörthersee Stadion,Klagenfurt
TR,CZ,3,2,,,3,2,2008-06-15T18:45:00Z,Group A,Stade de Genève,Geneva
CH,PT,2,0,,,2,0,2008-06-15T18:45:00Z,Group A,St. Jakob-Park,Basel
GR,RU,0,1,,,0,1,2008-06-14T18:45:00Z,Group D,Stadion Salzburg,Salzburg
SE,ES,1,2,,,1,2,2008-06-14T16:00:00Z,Group D,Tivoli Stadion Tirol,Innsbruck
NL,FR,4,1,,,4,1,2008-06-13T18:45:00Z,Group C,Stadion Wankdorf,Bern
IT,RO,1,1,,,1,1,2008-06-13T16:00:00Z,Group C,Stadion Letzigrund,Zürich
AT,PL,1,1,,,1,1,2008-06-12T18:45:00Z,Group B,Ernst-Happel-Stadion,Vienna
HR,DE,2,1,,,2,1,2008-06-12T16:00:00Z,Group B,Wörthersee Stadion,Klagenfurt
CH,TR,1,2,,,1,2,2008-06-11T18:45:00Z,Group A,St. Jakob-Park,Basel
CZ,PT,1,3,,,1,3,2008-06-11T16:00:00Z,Group A,Stade de Genève,Geneva
GR,SE,0,2,,,0,2,2008-06-10T18:45:00Z,Group D,Stadion Salzburg,Salzburg
ES,RU,4,1,,,4,1,2008-06-10T16:00:00Z,Group D,Tivoli Stadion Tirol,Innsbruck
NL,IT,3,0,,,3,0,2008-06-09T18:45:00Z,Group C,Stadion Wankdorf,Bern
RO,FR,0,0,,,0,0,2008-06-09T16:00:00Z,Group C,Stadion Letzigrund,Zürich
DE,PL,2,0,,,2,0,2008-06-08T18:45:00Z,Group B,Wörthersee Stadion,Klagenfurt
AT,HR,0,1,,,0,1,2008-06-08T16:00:00Z,Group B,Ernst-Happel-Stadion,Vienna
PT,TR,2,0,,,2,0,2008-06-07T18:45:00Z,Group A,Stade de Genève,Geneva
CH,CZ,0,1,,,0,1,2008-06-07T16:00:00Z,Group A,St. Jakob-Park,Basel
