home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
Spain,Italy,4,0,,,4,0,2012-07-01T18:45:00Z,Final,NSC Olimpiyskiy,Kyiv
Germany,Italy,1,2,,,1,2,2012-06-28T18:45:00Z,Semi-finals,Stadion Narodowy,Warsaw
Portugal,Spain,0,0,2,4,2,4,2012-06-27T18:45:00Z,Semi-finals,Donbass Arena,Donetsk
England,Italy,0,0,2,4,2,4,2012-06-24T18:45:00Z,Quarter-finals,NSC Olimpiyskiy,Kyiv
Spain,France,2,0,,,2,0,2012-06-23T18:45:00Z,Quarter-finals,Donbass Arena,Donetsk
Germany,Greece,4,2,,,4,2,2012-06-22T18:45:00Z,Quarter-finals,Gdansk Stadium,Gdansk
Czechia,Portugal,0,1,,,0,1,2012-06-21T18:45:00Z,Quarter-finals,Stadion Narodowy,Warsaw
Sweden,France,2,0,,,2,0,2012-06-19T18:45:00Z,Group D,NSC Olimpiyskiy,Kyiv
England,Ukraine,1,0,,,1,0,2012-06-19T18:45:00Z,Group D,Donbass Arena,Donetsk
Italy,Ireland,2,0,,,2,0,2012-06-18T18:45:00Z,Group C,Poznań Stadium,Poznań
Croatia,Spain,0,1,,,0,1,2012-06-18T18:45:00Z,Group C,Gdansk Stadium,Gdansk
Denmark,Germany,1,2,,,1,2,2012-06-17T18:45:00Z,Group B,Arena Lviv,Lviv
Portugal,Netherlands,2,1,,,2,1,2012-06-17T18:45:00Z,Group B,OSC Metalist,Kharkiv
Greece,Russia,1,0,,,1,0,2012-06-16T18:45:00Z,Group A,Stadion Narodowy,Warsaw
Czechia,Poland,1,0,,,1,0,2012-06-16T18:45:00Z,Group A,Stadion Miejski we Wrocławiu,Wroclaw
Sweden,England,2,3,,,2,3,2012-06-15T18:45:00Z,Group D,NSC Olimpiyskiy,Kyiv
Ukraine,France,0,2,,,0,2,2012-06-15T16:00:00Z,Group D,Donbass Arena,Donetsk
Spain,Ireland,4,0,,,4,0,2012-06-14T18:45:00Z,Group C,Gdansk Stadium,Gdansk
Italy,Croatia,1,1,,,1,1,2012-06-14T16:00:00Z,Group C,Poznań Stadium,Poznań
Netherlands,Germany,1,2,,,1,2,2012-06-13T18:45:00Z,Group B,OSC Metalist,Kharkiv
Denmark,Portugal,2,3,,,2,3,2012-06-13T16:00:00Z,Group B,Arena Lviv,Lviv
Poland,Russia,1,1,,,1,1,2012-06-12T18:45:00Z,Group A,Stadion Narodowy,Warsaw
Greece,Czechia,1,2,,,1,2,2012-06-12T16:00:00Z,Group A,Stadion Miejski we Wrocławiu,Wroclaw
Ukraine,Sweden,2,1,,,2,1,2012-06-11T18:45:00Z,Group D,NSC Olimpiyskiy,Kyiv
France,England,1,1,,,1,1,2012-06-11T16:00:00Z,Group D,Donbass Arena,Donetsk
Ireland,Croatia,1,3,,,1,3,2012-06-10T18:45:00Z,Group C,Poznań Stadium,Poznań
Spain,Italy,1,1,,,1,1,2012-06-10T16:00:00Z,Group C,Gdansk Stadium,Gdansk
Germany,Portugal,1,0,,,1,0,2012-06-09T18:45:00Z,Group B,Arena Lviv,Lviv
Netherlands,Denmark,0,1,,,0,1,2012-06-09T16:00:00Z,Group B,OSC Metalist,Kharkiv
Russia,Czechia,4,1,,,4,1,2012-06-08T18:45:00Z,Group A,Stadion Miejski we Wrocławiu,Wroclaw
Poland,Greece,1,1,,,1,1,2012-06-08T16:00:00Z,Group A,Stadion Narodowy,Warsaw
